Country,Item,Year,Value,BinValue
Australia,undernourishment,2017,<2.5,<2.5
Australia,undernourishment,2018,<2.5,<2.5
Australia,undernourishment,2019,<2.5,<2.5
Australia,insecurity,2016,3.4,0.5 - 10
Australia,insecurity,2017,3.6,0.5 - 10
Australia,insecurity,2018,3.8,0.5 - 10
Australia,insecurity,2019,3.3,0.5 - 10
Austria,undernourishment,2016,<2.5,<2.5
Austria,undernourishment,2017,<2.5,<2.5
Austria,undernourishment,2018,<2.5,<2.5
Austria,undernourishment,2019,<2.5,<2.5
Austria,insecurity,2016,1.2,0.5 - 10
Austria,insecurity,2017,1.1,0.5 - 10
Austria,insecurity,2018,1.1,0.5 - 10
Austria,insecurity,2019,0.9,0.5 - 10
Azerbaijan,undernourishment,2016,<2.5,<2.5
Azerbaijan,undernourishment,2017,<2.5,<2.5
Azerbaijan,undernourishment,2018,<2.5,<2.5
Azerbaijan,undernourishment,2019,<2.5,<2.5
Azerbaijan,insecurity,2016,<0.5,<0.5
Azerbaijan,insecurity,2017,<0.5,<0.5
Azerbaijan,insecurity,2018,<0.5,<0.5
Azerbaijan,insecurity,2019,<0.5,<0.5
Bangladesh,undernourishment,2016,13.3,5 - 15
Bangladesh,undernourishment,2017,12.5,5 - 15
Bangladesh,undernourishment,2018,10.8,5 - 15
Bangladesh,undernourishment,2019,9.7,5 - 15
Bangladesh,insecurity,2016,12.4,10 - 20
Bangladesh,insecurity,2017,11.6,10 - 20
Bangladesh,insecurity,2018,10.6,10 - 20
Bangladesh,insecurity,2019,10.5,10 - 20
Barbados,undernourishment,2016,4.3,2.5 - 5
Barbados,undernourishment,2017,4.3,2.5 - 5
Barbados,undernourishment,2018,4.2,2.5 - 5
Barbados,undernourishment,2019,4.1,2.5 - 5
Belarus,undernourishment,2016,<2.5,<2.5
Belarus,undernourishment,2017,<2.5,<2.5
Belarus,undernourishment,2018,<2.5,<2.5
Belarus,undernourishment,2019,<2.5,<2.5
Belgium,undernourishment,2016,<2.5,<2.5
Belgium,undernourishment,2017,<2.5,<2.5
Belgium,undernourishment,2018,<2.5,<2.5
Belgium,undernourishment,2019,<2.5,<2.5
Belgium,insecurity,2019,1.1,0.5 - 10
Belize,undernourishment,2016,7.2,5 - 15
Belize,undernourishment,2017,6.7,5 - 15
Belize,undernourishment,2018,6.2,5 - 15
Belize,undernourishment,2019,5.9,5 - 15
Benin,undernourishment,2016,7.3,5 - 15
Benin,undernourishment,2017,7.2,5 - 15
Benin,undernourishment,2018,7.3,5 - 15
Benin,undernourishment,2019,7.6,5 - 15
Bolivia,undernourishment,2016,13.1,5 - 15
Bolivia,undernourishment,2017,12.5,5 - 15
Bolivia,undernourishment,2018,12.6,5 - 15
Bolivia,undernourishment,2019,12.6,5 - 15
Bosnia and Herzegovina,undernourishment,2016,<2.5,<2.5
Bosnia and Herzegovina,undernourishment,2017,<2.5,<2.5
Bosnia and Herzegovina,undernourishment,2018,<2.5,<2.5
Bosnia and Herzegovina,undernourishment,2019,<2.5,<2.5
Bosnia and Herzegovina,insecurity,2016,1.8,0.5 - 10
Bosnia and Herzegovina,insecurity,2017,1.3,0.5 - 10
Bosnia and Herzegovina,insecurity,2018,1.5,0.5 - 10
Bosnia and Herzegovina,insecurity,2019,2,0.5 - 10
Botswana,undernourishment,2016,27.7,25 - 35
Botswana,undernourishment,2017,28.9,25 - 35
Botswana,undernourishment,2018,29.5,25 - 35
Botswana,undernourishment,2019,29.3,25 - 35
Botswana,insecurity,2016,20.2,20 - 30
Botswana,insecurity,2017,20.9,20 - 30
Botswana,insecurity,2018,21.5,20 - 30
Botswana,insecurity,2019,22.2,20 - 30
Brazil,undernourishment,2016,<2.5,<2.5
Brazil,undernourishment,2017,<2.5,<2.5
Brazil,undernourishment,2018,<2.5,<2.5
Brazil,undernourishment,2019,<2.5,<2.5
Brazil,insecurity,2016,1.8,0.5 - 10
Brazil,insecurity,2017,1.7,0.5 - 10
Brazil,insecurity,2018,1.6,0.5 - 10
Brazil,insecurity,2019,3.5,0.5 - 10
Brunei,undernourishment,2016,<2.5,<2.5
Brunei,undernourishment,2017,<2.5,<2.5
Brunei,undernourishment,2018,<2.5,<2.5
Brunei,undernourishment,2019,<2.5,<2.5
Bulgaria,undernourishment,2016,3.6,2.5 - 5
Bulgaria,undernourishment,2017,3.1,2.5 - 5
Bulgaria,undernourishment,2018,2.8,2.5 - 5
Bulgaria,undernourishment,2019,3,2.5 - 5
Bulgaria,insecurity,2016,2.4,0.5 - 10
Bulgaria,insecurity,2017,2.1,0.5 - 10
Bulgaria,insecurity,2018,1.9,0.5 - 10
Bulgaria,insecurity,2019,2.4,0.5 - 10
Burkina Faso,undernourishment,2016,12.3,5 - 15
Burkina Faso,undernourishment,2017,12.4,5 - 15
Burkina Faso,undernourishment,2018,12.7,5 - 15
Burkina Faso,undernourishment,2019,14.4,5 - 15
Burkina Faso,insecurity,2016,10.9,10 - 20
Burkina Faso,insecurity,2017,11.7,10 - 20
Burkina Faso,insecurity,2018,12.6,10 - 20
Burkina Faso,insecurity,2019,15.4,10 - 20
Cabo Verde,undernourishment,2016,17,15 - 25
Cabo Verde,undernourishment,2017,16.7,15 - 25
Cabo Verde,undernourishment,2018,16.2,15 - 25
Cabo Verde,undernourishment,2019,15.4,15 - 25
Cabo Verde,insecurity,2018,8.6,0.5 - 10
Cabo Verde,insecurity,2019,7.6,0.5 - 10
Cambodia,undernourishment,2016,8.5,5 - 15
Cambodia,undernourishment,2017,7.7,5 - 15
Cambodia,undernourishment,2018,6.8,5 - 15
Cambodia,undernourishment,2019,6.2,5 - 15
Cambodia,insecurity,2016,14.3,10 - 20
Cambodia,insecurity,2017,14,10 - 20
Cambodia,insecurity,2018,13.6,10 - 20
Cambodia,insecurity,2019,13.4,10 - 20
Cameroon,undernourishment,2016,5.5,5 - 15
Cameroon,undernourishment,2017,5.6,5 - 15
Cameroon,undernourishment,2018,5.6,5 - 15
Cameroon,undernourishment,2019,5.3,5 - 15
Cameroon,insecurity,2019,26.7,20 - 30
Canada,undernourishment,2016,<2.5,<2.5
Canada,undernourishment,2017,<2.5,<2.5
Canada,undernourishment,2018,<2.5,<2.5
Canada,undernourishment,2019,<2.5,<2.5
Canada,insecurity,2016,0.6,0.5 - 10
Canada,insecurity,2017,0.6,0.5 - 10
Canada,insecurity,2018,0.7,0.5 - 10
Canada,insecurity,2019,0.9,0.5 - 10
Central African Republic,undernourishment,2016,48.6,45 - 59.5
Central African Republic,undernourishment,2017,46.1,45 - 59.5
Central African Republic,undernourishment,2018,46.7,45 - 59.5
Central African Republic,undernourishment,2019,48.2,45 - 59.5
Central African Republic,insecurity,2019,61.8,50 - 65.4
Chad,undernourishment,2016,28.5,25 - 35
Chad,undernourishment,2017,29.1,25 - 35
Chad,undernourishment,2018,30.4,25 - 35
Chad,undernourishment,2019,31.7,25 - 35
Chile,undernourishment,2016,3.1,2.5 - 5
Chile,undernourishment,2017,3,2.5 - 5
Chile,undernourishment,2018,3,2.5 - 5
Chile,undernourishment,2019,3.4,2.5 - 5
Chile,insecurity,2016,3.1,0.5 - 10
Chile,insecurity,2017,3.4,0.5 - 10
Chile,insecurity,2018,3.6,0.5 - 10
Chile,insecurity,2019,4.3,0.5 - 10
China,undernourishment,2016,<2.5,<2.5
China,undernourishment,2017,<2.5,<2.5
China,undernourishment,2018,<2.5,<2.5
China,undernourishment,2019,<2.5,<2.5
Taiwan,undernourishment,2016,3.9,2.5 - 5
Taiwan,undernourishment,2017,3.7,2.5 - 5
Taiwan,undernourishment,2018,3.6,2.5 - 5
Taiwan,undernourishment,2019,3.3,2.5 - 5
Colombia,undernourishment,2016,6.8,5 - 15
Colombia,undernourishment,2017,7.1,5 - 15
Colombia,undernourishment,2018,7.9,5 - 15
Colombia,undernourishment,2019,8.8,5 - 15
Congo,undernourishment,2016,34.6,25 - 35
Congo,undernourishment,2017,36,35 - 45
Congo,undernourishment,2018,36.8,35 - 45
Congo,undernourishment,2019,37.7,35 - 45
Congo,insecurity,2016,46.1,40 - 50
Congo,insecurity,2017,49.7,40 - 50
Congo,insecurity,2018,51.1,50 - 65.4
Congo,insecurity,2019,51.7,50 - 65.4
Costa Rica,undernourishment,2016,3.6,2.5 - 5
Costa Rica,undernourishment,2017,3.1,2.5 - 5
Costa Rica,undernourishment,2018,3,2.5 - 5
Costa Rica,undernourishment,2019,3.1,2.5 - 5
Costa Rica,insecurity,2016,1.9,0.5 - 10
Costa Rica,insecurity,2017,2.2,0.5 - 10
Costa Rica,insecurity,2018,2.4,0.5 - 10
Costa Rica,insecurity,2019,2.6,0.5 - 10
Côte d'Ivoire,undernourishment,2016,15.5,15 - 25
Côte d'Ivoire,undernourishment,2017,15,15 - 25
Côte d'Ivoire,undernourishment,2018,14.9,5 - 15
Côte d'Ivoire,undernourishment,2019,14.9,5 - 15
Croatia,undernourishment,2016,<2.5,<2.5
Croatia,undernourishment,2017,<2.5,<2.5
Croatia,undernourishment,2018,<2.5,<2.5
Croatia,undernourishment,2019,<2.5,<2.5
Croatia,insecurity,2016,0.6,0.5 - 10
Croatia,insecurity,2017,0.8,0.5 - 10
Croatia,insecurity,2018,0.9,0.5 - 10
Croatia,insecurity,2019,1.3,0.5 - 10
Cuba,undernourishment,2016,<2.5,<2.5
Cuba,undernourishment,2017,<2.5,<2.5
Cuba,undernourishment,2018,<2.5,<2.5
Cuba,undernourishment,2019,<2.5,<2.5
Cyprus,undernourishment,2016,<2.5,<2.5
Cyprus,undernourishment,2017,<2.5,<2.5
Cyprus,undernourishment,2018,<2.5,<2.5
Cyprus,undernourishment,2019,<2.5,<2.5
Czechia,undernourishment,2016,<2.5,<2.5
Czechia,undernourishment,2017,<2.5,<2.5
Czechia,undernourishment,2018,<2.5,<2.5
Czechia,undernourishment,2019,<2.5,<2.5
Czechia,insecurity,2016,0.5,0.5 - 10
Czechia,insecurity,2017,<0.5,<0.5
Czechia,insecurity,2018,<0.5,<0.5
Czechia,insecurity,2019,0.8,0.5 - 10
North Korea,undernourishment,2016,41.2,35 - 45
North Korea,undernourishment,2017,42.9,35 - 45
North Korea,undernourishment,2018,42.6,35 - 45
North Korea,undernourishment,2019,42.4,35 - 45
Democratic Republic of the Congo,undernourishment,2016,39.9,35 - 45
Democratic Republic of the Congo,undernourishment,2017,40.2,35 - 45
Democratic Republic of the Congo,undernourishment,2018,40.4,35 - 45
Democratic Republic of the Congo,undernourishment,2019,41.7,35 - 45
Democratic Republic of the Congo,insecurity,2019,38.5,30 - 40
Denmark,undernourishment,2016,<2.5,<2.5
Denmark,undernourishment,2017,<2.5,<2.5
Denmark,undernourishment,2018,<2.5,<2.5
Denmark,undernourishment,2019,<2.5,<2.5
Denmark,insecurity,2016,1.1,0.5 - 10
Denmark,insecurity,2017,1.1,0.5 - 10
Denmark,insecurity,2018,1.1,0.5 - 10
Denmark,insecurity,2019,1.1,0.5 - 10
Djibouti,undernourishment,2016,16.7,15 - 25
Djibouti,undernourishment,2017,16.4,15 - 25
Djibouti,undernourishment,2018,16,15 - 25
Djibouti,undernourishment,2019,16.2,15 - 25
Dominica,undernourishment,2016,5,5 - 15
Dominica,undernourishment,2017,5.3,5 - 15
Dominica,undernourishment,2018,5.5,5 - 15
Dominica,undernourishment,2019,5.6,5 - 15
Dominican Republic,undernourishment,2016,6.8,5 - 15
Dominican Republic,undernourishment,2017,6.4,5 - 15
Dominican Republic,undernourishment,2018,6.7,5 - 15
Dominican Republic,undernourishment,2019,8.3,5 - 15
Ecuador,undernourishment,2016,9.7,5 - 15
Ecuador,undernourishment,2017,10.7,5 - 15
Ecuador,undernourishment,2018,11.2,5 - 15
Ecuador,undernourishment,2019,12.4,5 - 15
Ecuador,insecurity,2016,7.1,0.5 - 10
Ecuador,insecurity,2017,8.4,0.5 - 10
Ecuador,insecurity,2018,9.9,0.5 - 10
Ecuador,insecurity,2019,11.6,10 - 20
Egypt,undernourishment,2016,4.6,2.5 - 5
Egypt,undernourishment,2017,4.9,2.5 - 5
Egypt,undernourishment,2018,5.1,5 - 15
Egypt,undernourishment,2019,5.4,5 - 15
Egypt,insecurity,2016,8.7,0.5 - 10
Egypt,insecurity,2017,8.6,0.5 - 10
Egypt,insecurity,2018,7.4,0.5 - 10
Egypt,insecurity,2019,6.7,0.5 - 10
El Salvador,undernourishment,2016,9.9,5 - 15
El Salvador,undernourishment,2017,9.1,5 - 15
El Salvador,undernourishment,2018,8.6,5 - 15
El Salvador,undernourishment,2019,8.5,5 - 15
El Salvador,insecurity,2016,13.7,10 - 20
El Salvador,insecurity,2017,14,10 - 20
El Salvador,insecurity,2018,14.6,10 - 20
El Salvador,insecurity,2019,13.8,10 - 20
Estonia,undernourishment,2016,<2.5,<2.5
Estonia,undernourishment,2017,<2.5,<2.5
Estonia,undernourishment,2018,<2.5,<2.5
Estonia,undernourishment,2019,<2.5,<2.5
Estonia,insecurity,2016,0.8,0.5 - 10
Estonia,insecurity,2017,1,0.5 - 10
Estonia,insecurity,2018,0.9,0.5 - 10
Estonia,insecurity,2019,0.8,0.5 - 10
Eswatini,undernourishment,2016,13,5 - 15
Eswatini,undernourishment,2017,12.4,5 - 15
Eswatini,undernourishment,2018,11.9,5 - 15
Eswatini,undernourishment,2019,11.6,5 - 15
Eswatini,insecurity,2016,29.4,20 - 30
Eswatini,insecurity,2017,29.4,20 - 30
Eswatini,insecurity,2018,30,30 - 40
Eswatini,insecurity,2019,30.8,30 - 40
Ethiopia,undernourishment,2016,13.8,5 - 15
Ethiopia,undernourishment,2017,14,5 - 15
Ethiopia,undernourishment,2018,14.4,5 - 15
Ethiopia,undernourishment,2019,16.2,15 - 25
Ethiopia,insecurity,2016,15,10 - 20
Ethiopia,insecurity,2017,14.8,10 - 20
Ethiopia,insecurity,2018,14.1,10 - 20
Ethiopia,insecurity,2019,16.4,10 - 20
Fiji,undernourishment,2016,6.3,5 - 15
Fiji,undernourishment,2017,6.3,5 - 15
Fiji,undernourishment,2018,5.8,5 - 15
Fiji,undernourishment,2019,5.6,5 - 15
Fiji,insecurity,2018,2,0.5 - 10
Fiji,insecurity,2019,2,0.5 - 10
Finland,undernourishment,2016,<2.5,<2.5
Finland,undernourishment,2017,<2.5,<2.5
Finland,undernourishment,2018,<2.5,<2.5
Finland,undernourishment,2019,<2.5,<2.5
Finland,insecurity,2016,2.3,0.5 - 10
Finland,insecurity,2017,2.1,0.5 - 10
Finland,insecurity,2018,2,0.5 - 10
Finland,insecurity,2019,1.9,0.5 - 10
France,undernourishment,2016,<2.5,<2.5
France,undernourishment,2017,<2.5,<2.5
France,undernourishment,2018,<2.5,<2.5
France,undernourishment,2019,<2.5,<2.5
France,insecurity,2016,1.2,0.5 - 10
France,insecurity,2017,0.9,0.5 - 10
France,insecurity,2018,0.7,0.5 - 10
France,insecurity,2019,0.7,0.5 - 10
French Polynesia,undernourishment,2016,3.8,2.5 - 5
French Polynesia,undernourishment,2017,4,2.5 - 5
French Polynesia,undernourishment,2018,3.9,2.5 - 5
French Polynesia,undernourishment,2019,3.8,2.5 - 5
Gabon,undernourishment,2016,15,15 - 25
Gabon,undernourishment,2017,16,15 - 25
Gabon,undernourishment,2018,16.2,15 - 25
Gabon,undernourishment,2019,15.7,15 - 25
Gambia,undernourishment,2016,11.7,5 - 15
Gambia,undernourishment,2017,11.9,5 - 15
Gambia,undernourishment,2018,12.4,5 - 15
Gambia,undernourishment,2019,13.6,5 - 15
Gambia,insecurity,2016,23.6,20 - 30
Gambia,insecurity,2017,23.6,20 - 30
Gambia,insecurity,2018,24.6,20 - 30
Gambia,insecurity,2019,25.7,20 - 30
Georgia,undernourishment,2016,8.3,5 - 15
Georgia,undernourishment,2017,8.3,5 - 15
Georgia,undernourishment,2018,8.1,5 - 15
Georgia,undernourishment,2019,8.7,5 - 15
Georgia,insecurity,2016,7.9,0.5 - 10
Georgia,insecurity,2017,7.5,0.5 - 10
Georgia,insecurity,2018,7.3,0.5 - 10
Georgia,insecurity,2019,9.5,0.5 - 10
Germany,undernourishment,2016,<2.5,<2.5
Germany,undernourishment,2017,<2.5,<2.5
Germany,undernourishment,2018,<2.5,<2.5
Germany,undernourishment,2019,<2.5,<2.5
Germany,insecurity,2016,0.8,0.5 - 10
Germany,insecurity,2017,0.7,0.5 - 10
Germany,insecurity,2018,0.7,0.5 - 10
Germany,insecurity,2019,0.7,0.5 - 10
Ghana,undernourishment,2016,7.6,5 - 15
Ghana,undernourishment,2017,7.1,5 - 15
Ghana,undernourishment,2018,6.4,5 - 15
Ghana,undernourishment,2019,6.1,5 - 15
Ghana,insecurity,2016,7.9,0.5 - 10
Ghana,insecurity,2017,8.1,0.5 - 10
Ghana,insecurity,2018,8.3,0.5 - 10
Ghana,insecurity,2019,8.6,0.5 - 10
Greece,undernourishment,2016,<2.5,<2.5
Greece,undernourishment,2017,<2.5,<2.5
Greece,undernourishment,2018,<2.5,<2.5
Greece,undernourishment,2019,<2.5,<2.5
Greece,insecurity,2016,3.2,0.5 - 10
Greece,insecurity,2017,3.2,0.5 - 10
Greece,insecurity,2018,2.3,0.5 - 10
Greece,insecurity,2019,1.7,0.5 - 10
Guatemala,undernourishment,2016,16.4,15 - 25
Guatemala,undernourishment,2017,16.3,15 - 25
Guatemala,undernourishment,2018,16,15 - 25
Guatemala,undernourishment,2019,16.8,15 - 25
Guatemala,insecurity,2016,17,10 - 20
Guatemala,insecurity,2017,17.1,10 - 20
Guatemala,insecurity,2018,18.1,10 - 20
Guatemala,insecurity,2019,19.2,10 - 20
Guinea,insecurity,2016,47.1,40 - 50
Guinea,insecurity,2017,49.7,40 - 50
Guinea,insecurity,2018,49.7,40 - 50
Guinea,insecurity,2019,49.7,40 - 50
Guyana,undernourishment,2016,6.3,5 - 15
Guyana,undernourishment,2017,6,5 - 15
Guyana,undernourishment,2018,5.5,5 - 15
Guyana,undernourishment,2019,5.2,5 - 15
Haiti,undernourishment,2016,46.7,45 - 59.5
Haiti,undernourishment,2017,48,45 - 59.5
Haiti,undernourishment,2018,47.9,45 - 59.5
Haiti,undernourishment,2019,46.8,45 - 59.5
Honduras,undernourishment,2016,13.8,5 - 15
Honduras,undernourishment,2017,13.2,5 - 15
Honduras,undernourishment,2018,13.1,5 - 15
Honduras,undernourishment,2019,13.5,5 - 15
Honduras,insecurity,2016,14.1,10 - 20
Honduras,insecurity,2017,14.1,10 - 20
Honduras,insecurity,2018,14,10 - 20
Honduras,insecurity,2019,14.6,10 - 20
Hungary,undernourishment,2016,<2.5,<2.5
Hungary,undernourishment,2017,<2.5,<2.5
Hungary,undernourishment,2018,<2.5,<2.5
Hungary,undernourishment,2019,<2.5,<2.5
Hungary,insecurity,2016,1.1,0.5 - 10
Hungary,insecurity,2017,0.9,0.5 - 10
Hungary,insecurity,2018,0.8,0.5 - 10
Hungary,insecurity,2019,1.4,0.5 - 10
Iceland,undernourishment,2016,<2.5,<2.5
Iceland,undernourishment,2017,<2.5,<2.5
Iceland,undernourishment,2018,<2.5,<2.5
Iceland,undernourishment,2019,<2.5,<2.5
Iceland,insecurity,2016,1.7,0.5 - 10
Iceland,insecurity,2017,1.5,0.5 - 10
Iceland,insecurity,2018,1.5,0.5 - 10
Iceland,insecurity,2019,1.5,0.5 - 10
India,undernourishment,2016,14.2,5 - 15
India,undernourishment,2017,13.8,5 - 15
India,undernourishment,2018,14,5 - 15
India,undernourishment,2019,15.3,15 - 25
Indonesia,undernourishment,2016,6.8,5 - 15
Indonesia,undernourishment,2017,6.4,5 - 15
Indonesia,undernourishment,2018,6.4,5 - 15
Indonesia,undernourishment,2019,6.5,5 - 15
Indonesia,insecurity,2016,0.9,0.5 - 10
Indonesia,insecurity,2017,0.9,0.5 - 10
Indonesia,insecurity,2018,0.8,0.5 - 10
Indonesia,insecurity,2019,0.7,0.5 - 10
Iran,undernourishment,2016,4.9,2.5 - 5
Iran,undernourishment,2017,5.2,5 - 15
Iran,undernourishment,2018,5.4,5 - 15
Iran,undernourishment,2019,5.5,5 - 15
Iran,insecurity,2016,9.3,0.5 - 10
Iran,insecurity,2017,8.7,0.5 - 10
Iran,insecurity,2018,8.4,0.5 - 10
Iran,insecurity,2019,8.7,0.5 - 10
Iraq,undernourishment,2016,38.4,35 - 45
Iraq,undernourishment,2017,37.9,35 - 45
Iraq,undernourishment,2018,37.4,35 - 45
Iraq,undernourishment,2019,37.5,35 - 45
Ireland,undernourishment,2016,<2.5,<2.5
Ireland,undernourishment,2017,<2.5,<2.5
Ireland,undernourishment,2018,<2.5,<2.5
Ireland,undernourishment,2019,<2.5,<2.5
Ireland,insecurity,2016,2.8,0.5 - 10
Ireland,insecurity,2017,2.9,0.5 - 10
Ireland,insecurity,2018,3.5,0.5 - 10
Ireland,insecurity,2019,4.3,0.5 - 10
Israel,undernourishment,2016,<2.5,<2.5
Israel,undernourishment,2017,<2.5,<2.5
Israel,undernourishment,2018,<2.5,<2.5
Israel,undernourishment,2019,<2.5,<2.5
Israel,insecurity,2016,1.4,0.5 - 10
Israel,insecurity,2017,1.6,0.5 - 10
Israel,insecurity,2018,1.7,0.5 - 10
Israel,insecurity,2019,1.9,0.5 - 10
Italy,undernourishment,2016,<2.5,<2.5
Italy,undernourishment,2017,<2.5,<2.5
Italy,undernourishment,2018,<2.5,<2.5
Italy,undernourishment,2019,<2.5,<2.5
Italy,insecurity,2016,1.1,0.5 - 10
Italy,insecurity,2017,1.1,0.5 - 10
Italy,insecurity,2018,1.1,0.5 - 10
Italy,insecurity,2019,1.2,0.5 - 10
Jamaica,undernourishment,2016,9.3,5 - 15
Jamaica,undernourishment,2017,8.8,5 - 15
Jamaica,undernourishment,2018,7.7,5 - 15
Jamaica,undernourishment,2019,7.7,5 - 15
Japan,undernourishment,2016,<2.5,<2.5
Japan,undernourishment,2017,<2.5,<2.5
Japan,undernourishment,2018,<2.5,<2.5
Japan,undernourishment,2019,<2.5,<2.5
Japan,insecurity,2016,<0.5,<0.5
Japan,insecurity,2017,0.5,0.5 - 10
Japan,insecurity,2018,0.7,0.5 - 10
Japan,insecurity,2019,0.7,0.5 - 10
Jordan,undernourishment,2016,7.1,5 - 15
Jordan,undernourishment,2017,7.7,5 - 15
Jordan,undernourishment,2018,8.2,5 - 15
Jordan,undernourishment,2019,9.5,5 - 15
Kazakhstan,undernourishment,2016,<2.5,<2.5
Kazakhstan,undernourishment,2017,2.6,2.5 - 5
Kazakhstan,undernourishment,2018,2.5,2.5 - 5
Kazakhstan,undernourishment,2019,<2.5,<2.5
Kazakhstan,insecurity,2017,<0.5,<0.5
Kazakhstan,insecurity,2018,<0.5,<0.5
Kazakhstan,insecurity,2019,<0.5,<0.5
Kenya,undernourishment,2016,23.2,15 - 25
Kenya,undernourishment,2017,24.6,15 - 25
Kenya,undernourishment,2018,24.4,15 - 25
Kenya,undernourishment,2019,24.8,15 - 25
Kenya,insecurity,2016,19.2,10 - 20
Kenya,insecurity,2017,21.2,20 - 30
Kenya,insecurity,2018,23.3,20 - 30
Kenya,insecurity,2019,25.7,20 - 30
Kiribati,undernourishment,2016,3.3,2.5 - 5
Kiribati,undernourishment,2017,3.5,2.5 - 5
Kiribati,undernourishment,2018,3.8,2.5 - 5
Kiribati,undernourishment,2019,4.1,2.5 - 5
Kiribati,insecurity,2018,8,0.5 - 10
Kiribati,insecurity,2019,7.9,0.5 - 10
Kuwait,undernourishment,2016,<2.5,<2.5
Kuwait,undernourishment,2017,<2.5,<2.5
Kuwait,undernourishment,2018,<2.5,<2.5
Kuwait,undernourishment,2019,<2.5,<2.5
Kuwait,insecurity,2016,4.9,0.5 - 10
Kuwait,insecurity,2017,4.9,0.5 - 10
Kuwait,insecurity,2018,4.9,0.5 - 10
Kuwait,insecurity,2019,4.9,0.5 - 10
Kyrgyzstan,undernourishment,2016,7.9,5 - 15
Kyrgyzstan,undernourishment,2017,7.7,5 - 15
Kyrgyzstan,undernourishment,2018,7.2,5 - 15
Kyrgyzstan,undernourishment,2019,7.2,5 - 15
Kyrgyzstan,insecurity,2017,0.8,0.5 - 10
Kyrgyzstan,insecurity,2018,0.8,0.5 - 10
Kyrgyzstan,insecurity,2019,1.1,0.5 - 10
Laos,undernourishment,2016,5.9,5 - 15
Laos,undernourishment,2017,5.6,5 - 15
Laos,undernourishment,2018,5.4,5 - 15
Laos,undernourishment,2019,5.3,5 - 15
Laos,insecurity,2019,8.9,0.5 - 10
Latvia,undernourishment,2016,<2.5,<2.5
Latvia,undernourishment,2017,<2.5,<2.5
Latvia,undernourishment,2018,<2.5,<2.5
Latvia,undernourishment,2019,<2.5,<2.5
Latvia,insecurity,2016,0.6,0.5 - 10
Latvia,insecurity,2017,0.6,0.5 - 10
Latvia,insecurity,2018,0.6,0.5 - 10
Latvia,insecurity,2019,0.7,0.5 - 10
Lebanon,undernourishment,2016,6.2,5 - 15
Lebanon,undernourishment,2017,6.7,5 - 15
Lebanon,undernourishment,2018,7.2,5 - 15
Lebanon,undernourishment,2019,9.3,5 - 15
Lesotho,undernourishment,2016,28.3,25 - 35
Lesotho,undernourishment,2017,26,25 - 35
Lesotho,undernourishment,2018,20.8,15 - 25
Lesotho,undernourishment,2019,23.5,15 - 25
Lesotho,insecurity,2019,27,20 - 30
Liberia,undernourishment,2016,36.4,35 - 45
Liberia,undernourishment,2017,36.6,35 - 45
Liberia,undernourishment,2018,37.5,35 - 45
Liberia,undernourishment,2019,38.9,35 - 45
Liberia,insecurity,2019,37.3,30 - 40
Libya,insecurity,2016,12.4,10 - 20
Libya,insecurity,2017,14.3,10 - 20
